Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
FRZB		3	3	515	0.6%	No
IZUMO1		4	3	515	0.6%	No
TBCB		1	1	515	0.2%	No
MAMSTR		3	3	515	0.6%	No
TPRX1		2	2	515	0.4%	No
NKPD1		2	2	515	0.4%	No
COPS7A		2	2	515	0.4%	No
NSDHL		2	2	515	0.4%	No
AP1S1		2	2	515	0.4%	No
AP2M1		2	2	515	0.4%	No
CXCL17		1	1	515	0.2%	No
PLEKHM2		3	3	515	0.6%	No
SYT11		2	2	515	0.4%	No
MLC1		1	1	515	0.2%	No
OR4C12		8	8	515	1.6%	No
OR4C13		2	2	515	0.4%	No
M1AP		5	5	515	1.0%	No
CLCNKA		9	9	515	1.7%	No
USP49		4	4	515	0.8%	No
CLCN7		3	3	515	0.6%	No
ATP11B		4	4	515	0.8%	No
WHRN		4	4	515	0.8%	No
CLCN6		4	4	515	0.8%	No
FAM168A		1	1	515	0.2%	No
ABHD14A		2	2	515	0.4%	No
CLCN5		6	6	515	1.2%	No
CLCN4		5	5	515	1.0%	No
PMPCA		7	7	515	1.4%	No
CLCN3		5	5	515	1.0%	No
ARL6IP1		2	2	515	0.4%	No
PRKD2		2	2	515	0.4%	No
CLCN2		9	9	515	1.7%	No
ACSBG1		6	6	515	1.2%	No
CLCN1		5	5	515	1.0%	No
RASSF8		1	1	515	0.2%	No
CLCA1		7	7	515	1.4%	No
CLC		3	3	515	0.6%	No
DUSP10		2	2	515	0.4%	No
NLRC5		12	10	515	1.9%	No
ANTXR1		2	2	515	0.4%	No
MRPL3		1	1	515	0.2%	No
C19ORF44		5	4	515	0.8%	No
KIAA1109		26	25	515	4.9%	No
GALNT5		4	4	515	0.8%	No
ASCC2		1	1	515	0.2%	No
GALNT6		3	3	515	0.6%	No
GTF2IRD2		2	2	515	0.4%	No
NBEAL2		9	8	515	1.6%	No
TSLP		1	1	515	0.2%	No
CLK3		4	4	515	0.8%	No
JMJD6		1	1	515	0.2%	No
RPL36		2	2	515	0.4%	No
ZC3H4		11	11	515	2.1%	No
CLK2		11	11	515	2.1%	No
RRS1		1	1	515	0.2%	No
LETMD1		1	1	515	0.2%	No
CLK1		2	2	515	0.4%	No
SULF1		20	20	515	3.9%	No
XPO6		4	4	515	0.8%	No
PRRC2C		10	9	515	1.7%	No
SPEF1		1	1	515	0.2%	No
CLIC1		3	3	515	0.6%	No
TBC1D1		5	5	515	1.0%	No
DCAF13		3	3	515	0.6%	No
CLU		2	2	515	0.4%	No
ZFR2		1	1	515	0.2%	No
MXRA5		13	13	515	2.5%	No
ARID5B		12	12	515	2.3%	Yes
NEPRO		4	4	515	0.8%	No
CLCNKB		6	5	515	1.0%	No
SUMF2		2	2	515	0.4%	No
TRUB1		1	1	515	0.2%	No
POLG2		2	2	515	0.4%	No
SEC63		1	1	515	0.2%	No
RPF2		4	4	515	0.8%	No
HPS5		7	7	515	1.4%	No
MKX		2	2	515	0.4%	No
RNF139		2	2	515	0.4%	No
PDCD10		5	5	515	1.0%	No
CA5B		1	1	515	0.2%	No
PSKH2		3	3	515	0.6%	No
RNF24		1	1	515	0.2%	No
SGMS2		1	1	515	0.2%	No
MINDY4		5	5	515	1.0%	No
PARM1		2	2	515	0.4%	No
CHD6		16	16	515	3.1%	No
ZNF831		17	14	515	2.7%	No
ABTB2		6	5	515	1.0%	No
YIPF3		3	3	515	0.6%	No
FAR1		6	6	515	1.2%	No
TMEM164		1	1	515	0.2%	No
C20ORF85		1	1	515	0.2%	No
POLI		4	4	515	0.8%	No
CHEK2		4	4	515	0.8%	Yes
SLITRK6		11	9	515	1.7%	No
KLK8		1	1	515	0.2%	No
ZCCHC7		2	2	515	0.4%	No
LOXL4		2	2	515	0.4%	No
ZNF844		3	3	515	0.6%	No
ZNF763		9	8	515	1.6%	No
TECPR1		5	5	515	1.0%	No
ZNF345		4	4	515	0.8%	No
DCAF12		4	4	515	0.8%	No
ARMC8		4	4	515	0.8%	No
BRMS1		3	3	515	0.6%	No
FAM149A		3	3	515	0.6%	No
CTRB2		3	3	515	0.6%	No
DDX20		3	3	515	0.6%	No
TREX2		2	2	515	0.4%	No
HDX		8	8	515	1.6%	No
PLPBP		1	1	515	0.2%	No
SLC49A3		2	2	515	0.4%	No
FZD10		5	5	515	1.0%	No
AKAP13		14	13	515	2.5%	No
ELMOD3		2	2	515	0.4%	No
IRAK3		9	9	515	1.7%	No
POLR1B		3	3	515	0.6%	No
AKAP10		5	5	515	1.0%	No
AKAP11		8	8	515	1.6%	No
OR2Z1		3	3	515	0.6%	No
TXN2		2	2	515	0.4%	No
FBXL2		1	1	515	0.2%	No
PROKR2		2	2	515	0.4%	No
TMEM184B		2	2	515	0.4%	No
OR4Q3		11	11	515	2.1%	No
ZIM3		7	7	515	1.4%	No
OSCAR		1	1	515	0.2%	No
ARIH1		1	1	515	0.2%	No
DMBX1		3	3	515	0.6%	No
MTO1		3	3	515	0.6%	No
TPSG1		3	3	515	0.6%	No
GBP4		3	3	515	0.6%	No
OR4M1		10	10	515	1.9%	No
GBP5		11	10	515	1.9%	No
MTERF4		5	4	515	0.8%	No
TOE1		4	4	515	0.8%	No
RAB26		2	2	515	0.4%	No
NIPBL		31	26	515	5.0%	No
METTL25		2	2	515	0.4%	No
COG4		5	5	515	1.0%	No
SETD3		6	6	515	1.2%	Yes
HECTD1		13	12	515	2.3%	No
SULT4A1		2	2	515	0.4%	No
POU2F3		3	3	515	0.6%	No
NBPF14		2	2	515	0.4%	No
MGAT4C		8	8	515	1.6%	No
FCRL1		7	7	515	1.4%	No
FCRL3		8	7	515	1.4%	No
LRRC42		4	4	515	0.8%	No
TBC1D3C		1	1	515	0.2%	No
POMK		1	1	515	0.2%	No
USP48		5	5	515	1.0%	No
LSM4		2	2	515	0.4%	No
SPDEF		9	8	515	1.6%	No
BAMBI		2	2	515	0.4%	No
RHBDD3		2	2	515	0.4%	No
TTLL1		4	4	515	0.8%	No
SLC39A6		5	5	515	1.0%	No
LMOD1		3	3	515	0.6%	No
GCA		1	1	515	0.2%	No
LINC02903		2	2	515	0.4%	No
SIRPD		2	2	515	0.4%	No
ATXN10		4	4	515	0.8%	No
TAFA5		4	4	515	0.8%	No
TNFAIP8		1	1	515	0.2%	No
NOCT		2	2	515	0.4%	No
KLK5		3	3	515	0.6%	No
CCDC148		2	2	515	0.4%	No
NPIPB15		3	3	515	0.6%	No
SPRED2		5	5	515	1.0%	No
SAMM50		4	4	515	0.8%	No
GPR146		1	1	515	0.2%	No
TBC1D20		5	5	515	1.0%	No
WDR6		2	2	515	0.4%	No
KCTD7		4	4	515	0.8%	No
SLC2A6		1	1	515	0.2%	No
MAP4K1		6	5	515	1.0%	No
MAP4K5		2	2	515	0.4%	No
RASSF1		1	1	515	0.2%	No
STAB1		12	11	515	2.1%	No
EFR3A		5	4	515	0.8%	No
RTF1		5	5	515	1.0%	No
SLC35D1		2	2	515	0.4%	No
RBM46		3	3	515	0.6%	No
OR2A25		5	5	515	1.0%	No
CRPPA		2	2	515	0.4%	No
CLEC4F		8	7	515	1.4%	No
NKD2		2	2	515	0.4%	No
TPRG1L		1	1	515	0.2%	No
SAMD8		1	1	515	0.2%	No
WDR43		2	2	515	0.4%	No
ZIC5		3	3	515	0.6%	No
SNX13		3	3	515	0.6%	No
CCNB3		13	12	515	2.3%	Yes
MAPK8IP3		9	9	515	1.7%	No
GGA3		1	1	515	0.2%	No
RHPN2		4	4	515	0.8%	No
MPRIP		7	7	515	1.4%	No
NUP205		14	13	515	2.5%	No
SLC22A16		8	8	515	1.6%	No
NISCH		6	6	515	1.2%	No
PKP3		6	6	515	1.2%	No
CELF3		2	2	515	0.4%	No
SERPINA3		2	2	515	0.4%	No
CEP250		14	11	515	2.1%	No
ZBTB34		2	2	515	0.4%	No
GTF2H5		1	1	515	0.2%	No
AADAC		5	5	515	1.0%	No
AAMP		1	1	515	0.2%	No
AANAT		1	1	515	0.2%	No
AARS1		2	2	515	0.4%	No
ABCB8		5	5	515	1.0%	No
WIF1		1	1	515	0.2%	Yes
ABAT		6	6	515	1.2%	No
SEC23IP		10	9	515	1.7%	No
ABCA1		15	15	515	2.9%	No
CEP68		1	1	515	0.2%	No
PASK		7	6	515	1.2%	Yes
RGL1		6	6	515	1.2%	No
LRRIQ3		11	9	515	1.7%	No
ERICH3		26	24	515	4.7%	No
TYW3		1	1	515	0.2%	No
NKD1		8	8	515	1.6%	No
TTLL12		4	4	515	0.8%	No
ABRAXAS2		1	1	515	0.2%	No
DNAJC14		13	12	515	2.3%	No
METAP1		1	1	515	0.2%	No
EAF1		1	1	515	0.2%	No
ZCCHC14		3	3	515	0.6%	No
LPIN1		1	1	515	0.2%	No
SEPTIN8		2	2	515	0.4%	No
ANXA10		1	1	515	0.2%	No
SUPT16H		14	11	515	2.1%	No
ABCA2		16	13	515	2.5%	No
ABCA3		10	10	515	1.9%	No
ABCB7		4	4	515	0.8%	No
C5ORF38		2	2	515	0.4%	No
ABCF1		10	10	515	1.9%	No
IRX2		7	6	515	1.2%	No
ABCA4		15	15	515	2.9%	No
ERLIN2		2	2	515	0.4%	No
ABL1		6	5	515	1.0%	Yes
AOC1		6	6	515	1.2%	No
ABL2		9	9	515	1.7%	Yes
NUDT5		3	3	515	0.6%	No
ABR		4	4	515	0.8%	No
ZC3H3		6	6	515	1.2%	No
ASB17		2	2	515	0.4%	No
BTNL9		4	4	515	0.8%	No
SSPOP		1	1	515	0.2%	No
FCHO1		7	7	515	1.4%	No
PCGF6		1	1	515	0.2%	No
ZIC4		17	15	515	2.9%	No
CABS1		4	4	515	0.8%	No
QRFPR		4	4	515	0.8%	No
STON2		2	2	515	0.4%	No
ZZEF1		8	8	515	1.6%	No
DDIT4L		1	1	515	0.2%	No
ANKLE2		8	7	515	1.4%	No
C4ORF17		1	1	515	0.2%	No
ZCRB1		1	1	515	0.2%	No
PRAM1		3	3	515	0.6%	No
LRCH1		4	4	515	0.8%	No
SOX21		2	2	515	0.4%	No
KRTAP13-1		4	4	515	0.8%	No
PSIP1		11	11	515	2.1%	Yes
SLC41A2		6	6	515	1.2%	No
FSTL1		3	3	515	0.6%	No
USP44		4	4	515	0.8%	No
WDHD1		4	4	515	0.8%	No
ACACA		18	18	515	3.5%	No
ACACB		15	15	515	2.9%	No
ACADL		4	4	515	0.8%	No
ACADM		3	3	515	0.6%	No
ACADS		3	3	515	0.6%	No
STRAP		1	1	515	0.2%	No
MARVELD2		2	2	515	0.4%	No
ACADSB		3	3	515	0.6%	No
ACADVL		6	5	515	1.0%	No
ADAMTS7		9	9	515	1.7%	No
OR9K2		5	5	515	1.0%	No
INSL6		2	2	515	0.4%	No
ACAT2		2	2	515	0.4%	No
ADAMTS6		4	4	515	0.8%	No
CLCC1		4	4	515	0.8%	No
DQX1		3	3	515	0.6%	No
SEPTIN6		3	3	515	0.6%	Yes
TBC1D9		6	6	515	1.2%	No
TSPAN11		1	1	515	0.2%	No
FRMD4B		3	2	515	0.4%	No
GRAMD4		5	5	515	1.0%	No
CIC		11	10	515	1.9%	Yes
NCDN		3	3	515	0.6%	No
BAZ1A		6	6	515	1.2%	No
BAZ2A		5	5	515	1.0%	No
ZNF277		2	2	515	0.4%	No
LZTS1		6	6	515	1.2%	No
PIRT		2	2	515	0.4%	No
ASIC2		8	8	515	1.6%	No
ASIC1		1	1	515	0.2%	No
AMER1		11	10	515	1.9%	Yes
ACHE		2	2	515	0.4%	No
ACLY		4	4	515	0.8%	No
ACO1		8	8	515	1.6%	No
CDC37		2	2	515	0.4%	No
ACR		1	1	515	0.2%	No
PKIG		1	1	515	0.2%	No
IL1RAPL1		18	18	515	3.5%	No
CLASP2		5	5	515	1.0%	No
CAMTA2		6	6	515	1.2%	No
POGZ		5	5	515	1.0%	No
TMEM59L		2	2	515	0.4%	No
WIPF3		4	4	515	0.8%	No
COLGALT2		7	7	515	1.4%	No
RAD54B		6	6	515	1.2%	No
PLXND1		10	10	515	1.9%	No
ACAD11		6	6	515	1.2%	No
ATRIP		5	5	515	1.0%	No
DIXDC1		4	4	515	0.8%	No
RASGRP3		9	8	515	1.6%	No
LRRIQ1		18	14	515	2.7%	No
CEP295		1	1	515	0.2%	No
ATP10B		20	18	515	3.5%	No
WDR75		2	1	515	0.2%	No
TNKS1BP1		16	15	515	2.9%	No
RAB3GAP2		6	6	515	1.2%	No
CIPC		1	1	515	0.2%	No
DMC1		1	1	515	0.2%	No
KAT7		3	3	515	0.6%	No
DISP2		8	8	515	1.6%	No
GLMN		4	4	515	0.8%	No
ZNF394		5	5	515	1.0%	No
ACO2		3	3	515	0.6%	No
TSPYL5		9	9	515	1.7%	No
ACOX1		2	2	515	0.4%	No
HHLA2		1	1	515	0.2%	No
ACP1		1	1	515	0.2%	No
HHLA3		3	3	515	0.6%	No
UNK		4	4	515	0.8%	No
ACP2		2	2	515	0.4%	No
ACP5		1	1	515	0.2%	No
BVES		2	2	515	0.4%	No
ACP3		3	3	515	0.6%	No
MYOM3		2	2	515	0.4%	No
ACRV1		1	1	515	0.2%	No
ACTA1		4	4	515	0.8%	No
ACTA2		4	4	515	0.8%	No
CORO1A		2	2	515	0.4%	No
TIGD2		5	5	515	1.0%	No
FICD		1	1	515	0.2%	No
WDR45		4	4	515	0.8%	No
DRGX		3	3	515	0.6%	No
KDM6B		8	8	515	1.6%	No
BRI3		1	1	515	0.2%	No
EPB41L3		22	22	515	4.3%	No
QPCT		1	1	515	0.2%	No
SMC5		4	4	515	0.8%	No
N4BP3		5	5	515	1.0%	No
ZNF324		2	2	515	0.4%	No
SRRD		2	2	515	0.4%	No
MAST2		7	7	515	1.4%	No
CFAP45		5	5	515	1.0%	No
KIAA1755		10	9	515	1.7%	No
CIZ1		3	3	515	0.6%	No
ATG2A		4	4	515	0.8%	No
NGEF		4	4	515	0.8%	No
GPATCH8		12	12	515	2.3%	No
CNTNAP4		14	14	515	2.7%	No
RAD54L2		5	5	515	1.0%	No
FBXO7		2	2	515	0.4%	No
LDB3		9	9	515	1.7%	No
DCLK3		3	2	515	0.4%	No
LRRCC1		11	11	515	2.1%	No
ACTB		5	4	515	0.8%	Yes
HELZ2		10	9	515	1.7%	No
PTP4A3		2	2	515	0.4%	No
KNDC1		15	12	515	2.3%	No
PWWP3B		3	3	515	0.6%	No
DOCK7		15	14	515	2.7%	No
RAP1GAP2		2	2	515	0.4%	No
DDN		3	3	515	0.6%	No
OR5B3		4	4	515	0.8%	No
BTN2A1		3	3	515	0.6%	No
IQUB		14	12	515	2.3%	No
H2AP		2	2	515	0.4%	No
MCF2L2		11	11	515	2.1%	No
TBC1D2B		4	4	515	0.8%	No
HYPK		2	2	515	0.4%	No
FSTL4		6	6	515	1.2%	No
PRPF40B		9	9	515	1.7%	No
SLC24A2		5	5	515	1.0%	No
CLASRP		7	7	515	1.4%	No
KAT8		4	4	515	0.8%	No
CCDC65		1	1	515	0.2%	No
DNAJC5B		3	3	515	0.6%	No
PTPRT		22	21	515	4.1%	Yes
SYDE2		5	5	515	1.0%	No
GFM1		5	5	515	1.0%	No
ACTC1		8	8	515	1.6%	No
SCIN		6	6	515	1.2%	No
ACTG1		3	2	515	0.4%	Yes
FAF1		2	2	515	0.4%	Yes
ZNF644		6	6	515	1.2%	No
LBX2		1	1	515	0.2%	No
ACTG2		5	5	515	1.0%	No
RCAN3		1	1	515	0.2%	No
CD160		2	1	515	0.2%	No
FAM161A		4	4	515	0.8%	No
POLR3A		9	8	515	1.6%	No
ABRAXAS1		3	3	515	0.6%	Yes
KIF3A		4	4	515	0.8%	No
EVA1A		6	6	515	1.2%	No
FAM199X		1	1	515	0.2%	No
HIC2		4	4	515	0.8%	No
CAPN11		2	2	515	0.4%	No
ZWINT		2	2	515	0.4%	No
SPART		2	2	515	0.4%	No
TNRC6B		9	9	515	1.7%	No
CUL9		10	10	515	1.9%	No
NFASC		10	10	515	1.9%	No
ZMAT2		3	3	515	0.6%	No
DSTYK		4	4	515	0.8%	No
TOGARAM1		11	11	515	2.1%	No
SUN2		4	4	515	0.8%	No
TAB2		4	4	515	0.8%	No
PCMTD1		1	1	515	0.2%	No
C22ORF31		1	1	515	0.2%	No
CCDC13		6	6	515	1.2%	No
TBC1D22A		3	3	515	0.6%	No
SLC7A6OS		2	2	515	0.4%	No
KPTN		3	3	515	0.6%	No
ZNRF3		8	8	515	1.6%	Yes
ACTN4		7	7	515	1.4%	No
CAPN10		4	4	515	0.8%	No
USP42		4	4	515	0.8%	No
CDC42EP1		2	2	515	0.4%	No
UTP15		3	3	515	0.6%	No
ZC3H12C		6	6	515	1.2%	No
TOMM40L		1	1	515	0.2%	No
SSH2		8	8	515	1.6%	No
PWP1		2	2	515	0.4%	No
TANC1		15	14	515	2.7%	No
SLC7A9		2	2	515	0.4%	No
FHDC1		8	8	515	1.6%	No
ACTL6A		4	4	515	0.8%	No
CEP78		3	3	515	0.6%	No
ACTN1		5	5	515	1.0%	No
TBC1D8		4	4	515	0.8%	No
ZNF518B		6	6	515	1.2%	No
ACTN2		10	10	515	1.9%	No
CMC4		2	2	515	0.4%	No
ACVR1		5	5	515	1.0%	Yes
ACVR1B		6	6	515	1.2%	Yes
ACVR2A		1	1	515	0.2%	Yes
ACVR2B		2	2	515	0.4%	No
ACVRL1		3	3	515	0.6%	No
ACY1		2	2	515	0.4%	No
RSPH4A		8	8	515	1.6%	No
ACYP1		1	1	515	0.2%	No
GPR148		5	5	515	1.0%	No
DCAF8		1	1	515	0.2%	No
NPHP4		5	5	515	1.0%	No
KIR2DL3		4	4	515	0.8%	No
APCDD1L		3	3	515	0.6%	No
KIR2DL4		2	2	515	0.4%	No
KIR2DS4		2	2	515	0.4%	No
SH3RF3		3	3	515	0.6%	No
KIF5C		11	11	515	2.1%	No
KIFC3		2	2	515	0.4%	No
KIR2DL1		6	6	515	1.2%	No
TIPRL		2	2	515	0.4%	No
KIT		12	11	515	2.1%	Yes
KLK1		2	2	515	0.4%	No
KLK2		2	2	515	0.4%	Yes
STEAP2		6	6	515	1.2%	No
KLKB1		9	9	515	1.7%	No
MTURN		1	1	515	0.2%	No
KIR3DL1		3	3	515	0.6%	No
KIR3DL2		10	10	515	1.9%	No
KNG1		3	3	515	0.6%	No
KLRB1		2	2	515	0.4%	No
KLRC1		1	1	515	0.2%	No
KLRC2		1	1	515	0.2%	No
KLRC3		4	4	515	0.8%	No
KPNA1		5	5	515	1.0%	No
SRRM3		5	5	515	1.0%	No
KPNB1		3	3	515	0.6%	No
KPNA2		7	6	515	1.2%	No
KPNA3		4	3	515	0.6%	No
TMEM150B		1	1	515	0.2%	No
VSTM1		3	3	515	0.6%	No
DENND10		1	1	515	0.2%	No
KLC1		4	4	515	0.8%	No
KIF11		4	3	515	0.6%	No
KIFC1		5	5	515	1.0%	No
KIF25		5	5	515	1.0%	No
KIF22		5	3	515	0.6%	No
SERINC4		1	1	515	0.2%	No
WFDC13		1	1	515	0.2%	No
TCP10L		2	2	515	0.4%	No
CCDC30		2	2	515	0.4%	No
ADAM2		14	11	515	2.1%	No
KRT1		2	2	515	0.4%	No
KRT2		4	4	515	0.8%	No
FTL		3	3	515	0.6%	No
ZFP82		1	1	515	0.2%	No
WDR62		9	9	515	1.7%	No
SCGB2B2		2	2	515	0.4%	No
KPNA4		4	4	515	0.8%	No
KPNA5		2	2	515	0.4%	No
TNPO1		3	3	515	0.6%	No
FUCA2		2	2	515	0.4%	No
IPO5		3	3	515	0.6%	No
FUCA1		1	1	515	0.2%	No
KRAS		1	1	515	0.2%	Yes
NR5A1		1	1	515	0.2%	No
KRTAP5-9		1	1	515	0.2%	No
KRT13		3	3	515	0.6%	No
PYDC1		2	2	515	0.4%	No
KANK1		8	7	515	1.4%	No
FDCSP		1	1	515	0.2%	No
KRT10		3	3	515	0.6%	No
RFTN1		3	3	515	0.6%	No
FUT3		1	1	515	0.2%	No
KRT12		8	8	515	1.6%	No
DIP2A		14	14	515	2.7%	No
FUT2		2	2	515	0.4%	No
FUT1		1	1	515	0.2%	No
MESD		1	1	515	0.2%	No
FUS		2	2	515	0.4%	Yes
LARP4B		7	6	515	1.2%	Yes
RCOR1		3	3	515	0.6%	No
PHLDB1		6	5	515	1.0%	No
KRT3		5	5	515	1.0%	No
KRT4		6	6	515	1.2%	No
KRT5		14	13	515	2.5%	No
KRT6A		4	3	515	0.6%	No
KRT6B		1	1	515	0.2%	No
FUT7		1	1	515	0.2%	No
KRT7		2	2	515	0.4%	No
FUT6		3	2	515	0.4%	No
KRT8		1	1	515	0.2%	No
FUT5		4	4	515	0.8%	No
KRT9		2	2	515	0.4%	No
FGD5		6	6	515	1.2%	No
CDK11A		3	3	515	0.6%	No
ARRDC5		4	4	515	0.8%	No
GSE1		7	6	515	1.2%	No
MAGI3		14	13	515	2.5%	No
RGMB		3	3	515	0.6%	No
PRSS33		1	1	515	0.2%	No
IFI6		1	1	515	0.2%	No
CYFIP1		9	8	515	1.6%	No
RSBN1L		1	1	515	0.2%	No
FZD2		3	3	515	0.6%	No
GANAB		4	4	515	0.8%	No
FYN		3	3	515	0.6%	Yes
FBXL7		11	11	515	2.1%	No
FYB1		9	8	515	1.6%	No
MDN1		33	32	515	6.2%	No
CLN3		3	3	515	0.6%	No
ACKR1		7	7	515	1.4%	No
FAM120A		6	5	515	1.0%	No
TPP1		1	1	515	0.2%	No
KDSR		3	3	515	0.6%	Yes
FAF2		3	3	515	0.6%	No
FUT8		2	2	515	0.4%	No
PSME4		12	12	515	2.3%	No
KRT14		11	10	515	1.9%	No
CLPTM1		4	4	515	0.8%	No
KRT15		2	2	515	0.4%	No
CLPS		1	1	515	0.2%	No
G6PD		4	4	515	0.8%	No
CLNS1A		1	1	515	0.2%	No
G6PC1		2	2	515	0.4%	No
KRT16		1	1	515	0.2%	No
UBXN4		5	5	515	1.0%	No
OLFML2B		7	7	515	1.4%	No
MTHFD1L		5	5	515	1.0%	No
CNOT10		3	3	515	0.6%	No
C3ORF56		3	3	515	0.6%	No
KRT19		1	1	515	0.2%	No
KRT31		3	3	515	0.6%	No
AHCTF1		13	13	515	2.5%	No
IGSF10		18	16	515	3.1%	No
KRT32		2	2	515	0.4%	No
GABPA		3	3	515	0.6%	No
C3ORF33		3	3	515	0.6%	No
GABBR1		3	3	515	0.6%	No
CCDC28A		2	2	515	0.4%	No
IFFO1		4	4	515	0.8%	No
GAA		2	2	515	0.4%	No
XRCC6		3	3	515	0.6%	No
ITPRID1		12	11	515	2.1%	No
CMA1		5	5	515	1.0%	No
CLTC		9	9	515	1.7%	Yes
CLTB		3	3	515	0.6%	No
CLTA		1	1	515	0.2%	No
SLC37A4		2	2	515	0.4%	No
KRT18		1	1	515	0.2%	No
GAB1		4	3	515	0.6%	Yes
RTTN		9	9	515	1.7%	No
POT1		8	7	515	1.4%	Yes
NDUFAF3		1	1	515	0.2%	No
KRT84		1	1	515	0.2%	No
KRT85		5	5	515	1.0%	No
THUMPD3		3	2	515	0.4%	No
KRT86		3	3	515	0.6%	No
GABRB3		14	14	515	2.7%	No
CCR1		1	1	515	0.2%	No
GABRB2		7	7	515	1.4%	No
GABRB1		5	4	515	0.8%	No
DPCD		3	3	515	0.6%	No
GABRA6		6	6	515	1.2%	Yes
GABRA5		6	6	515	1.2%	No
DBX2		5	5	515	1.0%	No
GABRA4		5	5	515	1.0%	No
GABRA3		5	5	515	1.0%	No
GABRA2		13	12	515	2.3%	No
GABRA1		12	10	515	1.9%	No
H3-5		1	1	515	0.2%	Yes
GABPB1		2	2	515	0.4%	No
KRT33A		5	5	515	1.0%	No
KRT33B		4	4	515	0.8%	No
KRT34		5	5	515	1.0%	No
KRT35		4	4	515	0.8%	No
KRT82		8	7	515	1.4%	No
KRT83		5	5	515	1.0%	No
CCDC66		5	5	515	1.0%	No
SLC9C1		6	6	515	1.2%	No
LTB4R		2	2	515	0.4%	No
GAD2		6	6	515	1.2%	No
CMKLR1		4	4	515	0.8%	No
GAD1		4	4	515	0.8%	No
GABRR2		3	3	515	0.6%	No
ACKR2		3	3	515	0.6%	No
GABRR1		4	4	515	0.8%	No
GABRP		5	5	515	1.0%	No
CCR7		2	2	515	0.4%	No
GABRG3		5	4	515	0.8%	No
CCR6		2	2	515	0.4%	No
GABRG2		7	7	515	1.4%	No
GABRG1		12	12	515	2.3%	No
CCR4		3	3	515	0.6%	No
GABRE		11	9	515	1.7%	No
CCR3		5	5	515	1.0%	No
GABRD		2	2	515	0.4%	No
KTN1		3	3	515	0.6%	Yes
ZNF737		16	16	515	3.1%	No
L1CAM		10	8	515	1.6%	No
LAD1		3	3	515	0.6%	No
AFF3		19	19	515	3.7%	Yes
TCAIM		5	5	515	1.0%	No
ILDR1		3	3	515	0.6%	No
ZNF852		2	2	515	0.4%	No
GALK1		1	1	515	0.2%	No
B4GALNT1		3	3	515	0.6%	No
ZNF660		5	4	515	0.8%	No
GALC		3	3	515	0.6%	No
GAK		10	10	515	1.9%	No
ABCC2		8	7	515	1.4%	No
ZNRF2		1	1	515	0.2%	No
CNN1		3	3	515	0.6%	No
GANC		6	6	515	1.2%	No
PLK3		5	5	515	1.0%	No
CNGA4		5	5	515	1.0%	No
GAMT		1	1	515	0.2%	No
WDR17		22	18	515	3.5%	No
CNGA3		8	8	515	1.6%	No
GALT		2	2	515	0.4%	No
CNGA2		6	6	515	1.2%	No
GALNT3		5	5	515	1.0%	No
GALNT2		6	6	515	1.2%	No
ART5		1	1	515	0.2%	No
CNGA1		5	5	515	1.0%	No
CNGB1		11	11	515	2.1%	No
GALNT1		3	3	515	0.6%	No
GALNS		1	1	515	0.2%	No
GALR1		3	3	515	0.6%	No
GALK2		2	2	515	0.4%	No
CNTN1		8	8	515	1.6%	No
CNTFR		1	1	515	0.2%	No
AARD		1	1	515	0.2%	No
SLC22A20P		1	1	515	0.2%	No
CNR2		1	1	515	0.2%	No
KRTAP5-11		3	3	515	0.6%	No
CNR1		3	3	515	0.6%	No
KRTAP5-7		2	1	515	0.2%	No
LRRC24		3	3	515	0.6%	No
CNP		1	1	515	0.2%	No
DNAH14		3	3	515	0.6%	No
CNN3		1	1	515	0.2%	No
GAPDH		2	2	515	0.4%	No
CNN2		1	1	515	0.2%	No
GAP43		1	1	515	0.2%	No
HEXD		2	2	515	0.4%	No
CCDC57		7	7	515	1.4%	No
COL4A4		13	12	515	2.3%	No
COL4A3		18	18	515	3.5%	No
COL4A2		9	9	515	1.7%	No
COL4A1		9	9	515	1.7%	No
COL3A1		15	15	515	2.9%	No
COL2A1		7	6	515	1.2%	Yes
ZNF705A		1	1	515	0.2%	No
SMCO3		1	1	515	0.2%	No
COL1A2		27	27	515	5.2%	No
COL1A1		9	9	515	1.7%	Yes
CDON		9	9	515	1.7%	No
IMPG2		16	16	515	3.1%	No
COL9A1		7	7	515	1.4%	No
MED12L		18	17	515	3.3%	No
COL8A2		6	6	515	1.2%	No
COL8A1		6	6	515	1.2%	No
COL7A1		13	12	515	2.3%	No
COL6A3		24	22	515	4.3%	No
COL6A2		14	13	515	2.5%	No
CARD17		1	1	515	0.2%	No
COL6A1		10	9	515	1.7%	No
COL5A2		13	13	515	2.5%	No
IQSEC3		7	7	515	1.4%	No
COL5A1		20	17	515	3.3%	No
COL4A6		7	6	515	1.2%	No
COL4A5		16	13	515	2.5%	No
PDE11A		5	5	515	1.0%	No
FOXP3		1	1	515	0.2%	No
TBX22		14	13	515	2.5%	No
SHANK1		12	10	515	1.9%	No
SASH1		11	10	515	1.9%	No
C2ORF88		3	3	515	0.6%	No
BTBD10		3	3	515	0.6%	No
NGDN		4	4	515	0.8%	No
ZNF648		5	5	515	1.0%	No
TRIM2		1	1	515	0.2%	No
NOSTRIN		3	3	515	0.6%	No
RPGRIP1L		10	9	515	1.7%	No
